,p1GameName,p1Tagline,p2GameName,p2Tagline,winrate
3881,제이스 월식,KR1,Moonjeemin,KR1,52.17391304347826
3882,감자의반란,헿헿헿,Code Name Storm,CNS,63.33333333333333
3883,저러꿍,KR1,김스윙,KR1,81.81818181818183
3884,이래도 될까요,9999,내가다해,9999,66.66666666666666
3885,모네냥,찬도그,정글차이극혐,8826,70.0
3886,성심당베이글스,11111,담배없인못살아,2360,39.130434782608695
3887,슬픈한남자,KR1,미켈란젤로의천지창조,미켈란젤로,46.15384615384615
3888,겜 생,KR1,망고코코넛라떼,이즈홀스,56.666666666666664
3889,T T,sad,난 운이 없어,pjm,46.666666666666664
3890,그입술을막아본다,KR1,보영씨,KR1,62.5
3891,그입술을막아본다,KR1,성인조F,KR1,50.0
3892,나는야청담동갑부,KR1,72세박춘식할머니의마지막한발,ak47,55.55555555555556
3893,DESEMPLEADOS,KR1,난 나미야,KR1,45.83333333333333
3894,LAST DANCE 04,KR1,legofigure,lego,40.0
3895,비눗방울따가워,KR1,빛나는아가야,KR1,66.66666666666666
3896,안 산,4257,재 건,4257,61.904761904761905
3897,리 바,UMP45,캬 루,PRCN,54.54545454545454
3898,탑에원거리들고오는젠첩들머갈부숨,88848,Tricky Rabbit,TFT1,55.55555555555556
3899,전라도프로패드립퍼,가나다라,마 따꼼하쟤,KR1,54.54545454545454
3900,탑골공원훈수할배,KR1,산보다바다,KR1,66.66666666666666
3901,유망주 금쪽이,KR1,배장훈롤못함,KR1,53.333333333333336
3902,탱탱두,KR1,울부짓는버섯주인,KR2,60.0
3903,핫식스 중독자,KR1,킁 킁,КR1,60.0
3904,서 똥 욱,KR1,예롱롱,JJANG,65.51724137931035
3905,왼손잡이다,KR1,ftan,KR1,52.63157894736842
3906,아가리파이터,KR1,바라바라카피바라,카피바라,60.86956521739131
3907,쥐쉑기,KR1,Hiten Style,KR1,70.0
3908,力不終心,0703,쩡구기,KR1,61.53846153846154
3909,나는악마김연진,KR1,T1 taemins,KR1,64.70588235294117
3910,박앵웅,KR1,박서연,123,33.33333333333333
3911,붕실붕,KR1,EGD Onion,EGD2,48.275862068965516
3912,화이팅 우리탑,KR1,피곤한나무늘보,KR1,50.0
3913,버섯빼주세요,KR1,꼬라LI,KR1,57.89473684210527
3914,각성알파메일빵빵이,옥지얌,티 모,소악마,66.66666666666666
3915,illliliiiliiiii,KR1,라쿠데큐,KR1,37.5
3916,RNG Xiaobai,KR1,행복한소식,KR1,50.0
3917,9832590del,KR1,차니형님캐리좀요,KR1,83.33333333333334
3918,양치질을잘합시다,kr2,방구끼다똥싼사람,KR1,70.0
3919,dsafafea,KR11,축구왕올챙이,KR1,40.0
3920,ITZY 유나,sjh,행임이,KR1,35.714285714285715
3921,ALL라,IN더,1735339del,KR1,78.94736842105263
3922,바삭바삭한,0000,아시타비,我是他非,36.666666666666664
3923,볼 록,KR2,doran in ga,0323,70.0
3924,리버틴 MD,KR1,주링링,KR1,54.54545454545454
3925,뚝딱망치,KR1,동탄알파남,1234,69.23076923076923
3926,범준식,KRA,탑 너구리 처럼,KR1,61.111111111111114
3927,롤한척,KR1,일곱번째 행운,KR1,50.0
3928,작은love,KR1,퍼플냥,1003,31.25
3929,롤로노아,5009,육덕김광민,KR1,46.666666666666664
3930,롤로노아,5009,발7l하고너네집으로,KR2,72.72727272727273
3931,Bonsior,KR1,나약바니,KR1,66.66666666666666
3932,l of l player,KR1,친절한이웃진혁씨,0427,68.18181818181817
3933,초비현,KR1,시bal,0417,52.63157894736842
3934,롤체인생,1234,스트라이커,3210,40.0
3935,미드장인용사,KR1,천상천하 유아독존,0117,46.666666666666664
3936,시크릿쥬쥬,언콩123,효돌이네,KR1,66.66666666666666
3937,빵빵이,603,뛰어  난,KR1,45.45454545454545
3938,온수정해인,KR1,시빈정,KR1,50.0
3939,딱희뭘,KR1,84세박두철의마지막이니시에이팅,1941,46.666666666666664
3940,Llolv,zzz,서시은,000,45.83333333333333
3941,SAM,BS1,쓸쓸한감자,KR1,80.0
3942,LoL,pkkk,오현우,csy,61.53846153846154
3943,Fantastic Youth,KR1,계속 한밤중이면 좋을텐데,ZUTO,42.857142857142854
3944,천아름,KR1,사죄하라,KR1,61.53846153846154
3945,햐햐햐햐햐햐햐,KR2,야마둠,KR1,40.0
3946,냥냥펀치,0224,싸우지말자,제발요,50.0
3947,급발진손떨림,00000,네가 사는 거라면 나도 끼지,0000,10.0
3948,IIIIIIIIIIIIIIlI,Ko1,초코딸기블루베리,Ko1,65.38461538461539
3949,작은햄토리,이다희,다 혜,KR2,38.46153846153847
3950,둔탁한 칼,KR1,inha,KR26,66.66666666666666
3951,바텀노견,KR1,미쳤따도랏따마시따,7900,50.0
3952,원숭이,2345,어이업셔,KR1,56.25
3953,두비두밥비둘기밥,KR1,탑 너굴맨,KR1,41.17647058823529
3954,차가놀라면카놀라유,KR2,쳐 잡아줄까,KR1,55.00000000000001
3955,강한량A,KR1,네온친구시온,1234,54.54545454545454
3956,살 료,KR1,짭짤이,hhh,63.1578947368421
3957,나만나면탈주해라,KR1,행복을찾아서,lee,64.0
3958,건 빵,우마이,넘칠 연,KR1,48.148148148148145
3959,괴물쥐,전민동,BaikSY,KR1,55.00000000000001
3960,마 루,0506,노력하는중입니다,KR1,70.0
3961,케민첩준,KR1,김해 김민준,KR2,57.692307692307686
3962,albgj,KR1,웅산테,KR1,53.333333333333336
3963,albgj,KR1,누나 me die,KR1,73.33333333333333
3964,편견에사로잡히지마,1235,F0rsakènツ,0905,44.827586206896555
3965,잘느끼는서폿,KR1,해 적,사냥꾼,64.70588235294117
3966,정비조교,KR2,사정없이돌리는애,KR1,64.28571428571429
3967,남촌 아주스,4971,청호아파트,KR1,60.0
3968,꾸시오페아,KR2,PENTAT0NIX,KR1,64.28571428571429
3969,암별냥,KR2,암별냥,KR1,55.00000000000001
3970,바닥의삶,8789,신한110366904874,KR1,47.61904761904761
3971,얼룩돼이지,0728,상남자식 라인전,KR1,80.0
3972,디치기장인,KR1,가스주입기,KR1,60.0
3973,봉 근 석,KR1,섹시헌,123,41.66666666666667
3974,xhite,KR1,곱 셈 공 식,KR1,62.5
3975,baked potatoes,KR1,내전역은삼일절,KR1,53.84615384615385
3976,정자목,KR1,포로년,KR1,64.28571428571429
3977,개오짐,KR1,사미라장인,입니다,58.82352941176471
3978,엉덩국물,KR1,포 비,1234,80.0
3979,하명옥,KR1,콩순이,나는류나,30.76923076923077
3980,응OI겼어,KR1,응안Lr와,KR1,61.111111111111114
3981,나만하는연애,KR1,WildFlower,Eilis,10.0
3982,환타오렌지혐오자,KR1,겨수교드랑이,KR1,84.21052631578947
3983,황금고추,0509,대왕돌문어잡기,KR1,56.666666666666664
3984,송 쫑,KR1,에이피정글러,KR1,63.1578947368421
3985,네모대가리,KR1,인생모토 살크업,KR1,64.28571428571429
3986,네모대가리,KR1,마테오코바치치,KR1,30.0
3987,선박우,KR1,조훈희,조훈희,45.0
3988,정글은 미움받을 용기있는 위인,정글의눈물,박현빈주인,KR1,63.63636363636363
3989,Blue,KR201,오빠 어제 어땠어,KR1,27.27272727272727
3990,김 상 칠,KR1,초코호엔하임,KR1,58.333333333333336
3991,해 방,kr11,Regulator Tp,KR1,52.94117647058824
3992,선서빠,KR1,빨라빨라뿌,KR1,43.75
3993,파스텔 카라,KR1,씹련아 컷,KR1,56.52173913043478
3994,솜사탕신,KR1,99빈,99대장,62.96296296296296
3995,하암졸려,kr3,어쩔티비저쩔티비,12345,60.0
3996,내계정돌리도,3577,마음만은청춘원딜,KR1,31.57894736842105
3997,온시코기,멍몽이,LIve together,KR1,9.090909090909092
3998,레인보우 샤베트,ice,건강현,1216,48.275862068965516
3999,음경까,KR1,comcer,KR1,63.1578947368421
4000,ナニモナッカー,4379,범중이따까리정빈,kr1,63.33333333333333
4001,gomath,2693,이찬영,184,68.75
4002,오빠들아야해,KR1,팀운굉장히나쁜놈,KR1,46.666666666666664
4003,del000000000,KR1,자도자도부족해,KR1,70.0
4004,기도중인 망나니,KR1,거제도 슈퍼보이,병1290,44.0
4005,HornyFemboy,KR1,어색할 땐 일단 웃어보세요,0514,60.0
4006,버섯 캐는 농부,KR1,꿀렁우렁이,KR1,50.0
4007,갱플랭크,征服者門主,참을수없는사람,KR1,35.714285714285715
4008,유채령,KR2,조유리즈시절,KR1,40.0
4009,CRT NO WARNINGS,KR1,Terrashape,키아나,50.0
4010,창원의 태양,KR1,말랑랑말이,KR1,58.82352941176471
4011,멍뭉이내꺼임,KR1,부우허,KR1,36.36363636363637
4012,멍뭉이내꺼임,KR1,Barvare,7732,40.0
4013,건실하게살자,jsm,늙고병든,피지컬,57.14285714285714
4014,김태형꼬치,KR1,조선제일활잡이,헤으응,32.0
4015,KT HyBriD,KR1,GodZenji,KR2,58.333333333333336
4016,KT HyBriD,KR1,GeNmem,gen,60.0
4017,짱 구,제발말려,팜하니,KPOP,60.0
4018,lllilliiiilllll,KR1,Or칼리,KR704,52.63157894736842
4019,xi ni de pigu,KR1,발짜국,0091,57.692307692307686
4020,첼cs,KR1,현피승률50퍼,물주먹,71.42857142857143
4021,귄성민,KR1,이유없,KR1,45.45454545454545
4022,이기고싶다,plz,신을 죽이는 법,KR1,45.45454545454545
4023,허거덩,6921,오구의모험,KR1,76.92307692307693
4024,와플곰,1122,장대호,8176,56.25
4025,너내용없어,KR123,Hide on bush,KR 2,31.57894736842105
4026,해냈다해냈어버거가해냈어,띠용띠용용,Vaundy,SDR,65.0
4027,버섯이빨딱,KR1,기가 죽었어요,KR1,60.0
4028,변비왕자,sexy,니엄마랑잭스중,KR1,46.15384615384615
4029,변비왕자,sexy,호식OI,KR1,69.23076923076923
4030,동대문백수,KR1,앙GetSome,KR1,46.666666666666664
4031,동대문백수,KR1,추운게더좋아,Cold,60.0
4032,펭귄크면팽도리,KR1,독도오리,KR1,45.0
4033,평온 공연한 물개,KR2,낭만베인,BR2,56.00000000000001
4034,7931517del,KR1,비 상,선 언,46.666666666666664
4035,그만둬,KR3,똥과진지한대화,9419,54.54545454545454
4036,창현이,KR1,호남신학대학교,KR1,70.58823529411765
4037,어메이징잠자리맨,AZ1,칼과 총 귤,총귤쇠,41.66666666666667
4038,채연이,0710,The ad perfect,KR1,80.0
4039,박쥐용사,KR1,촉촉한남자,sexy,70.0
4040,웃음자판기,jug,쵸비교목사,chovy,78.57142857142857
4041,계양의 드럼통은 푸르다,Drum,구해줘용,KR1,25.0
4042,부자나라필립공주,KR1,김 중 필,KR1,60.0
4043,Hide on bush,31810,juwon러버,kr2,38.46153846153847
4044,나한테이러지마,KR1,과즙진영,KR1,60.0
4045,petty,kr903,두 행,KR1,40.0
4046,YORDLEKING,요들킹,역천괴,박보영,52.17391304347826
4047,신도림동,kkkkk,혀 니,KR2,45.0
4048,거제정글킹,KR1,99박준철,KR1,57.14285714285714
4049,쳐맞은병국,asd,도파민중독자,skrr,60.0
4050,근 황,KR1,라코가트롤안잡네나두해야징,탑신병자,40.0
4051,루루똥,1682,내가제일잘나다,KR1,50.0
4052,Choco emongs,KR1,더스케,KR1,57.14285714285714
4053,불성실한 놈,KR1,아우렐리웅 솔,KR1,55.55555555555556
4054,LeevGod,KR1,귀여븐템템,KR1,68.75
4055,미안합니탓,KR1,순풍산부인과의찬,KR1,61.904761904761905
4056,말없이 탑만갈게,KR1,Qkek,KR1,42.857142857142854
4057,IRSE,806,그만예뻐김민지,kr99,64.70588235294117
4058,킹혜웅,KR1,강태욱,입니다,50.0
4059,킹혜웅,KR1,노승인,1103,27.27272727272727
4060,지비비,KR1,김지비,KR1,52.94117647058824
4061,재원티비,KR1,공권이,ch1,63.1578947368421
4062,몬스터광현,KR1,렝가재밌어,KR1,54.54545454545454
4063,피슈케,KR1,jungup,KR1,81.81818181818183
4064,콜 파머,0325,노알라,5885,64.28571428571429
4065,일해회VVIP이도규,KR1,나버리면나도버린다분명히경고했어,123,66.66666666666666
4066,임진강고라니,KR1,myonxy,qwer,57.14285714285714
4067,탱 구,snsd0,꿀잼닉,KR1,42.857142857142854
4068,꿀밤체리,KR1,서폿가는 구름이,KR1,72.72727272727273
4069,강휴지,KR1,대전전민고탑솔러,KR1,62.5
4070,08수진이,KR1,큰여우,KR1,81.81818181818183
4071,이상현이상현,KR1,X발팀운,KR1,89.28571428571429
4072,짹짹찡,KR1,삼원아파트,KR1,64.28571428571429
4073,CG memories,001,궁쓰고들어간다,KR1,66.66666666666666
4074,Was Permitted by,KR1,emptinessMachine,KR2,73.33333333333333
4075,바텀개,원딜왕자,근본Supporter,KR1,62.5
4076,Aster Koraiensis,KR1,인두겁의 개들,KR1,44.827586206896555
4077,손일기,KR손,전라남도,여수시,61.53846153846154
4078,뚜두둥좡,KR1,DDHH,0308,55.00000000000001
4079,맛 우,KR1,파란색흰둥이,111,62.5
4080,무뇌kim,KR1,msekem,9630,63.63636363636363
4081,괴복치 ,KR1,우즈이 텐겐,악보완성,50.0
4082,믹스오라썸,KR7,Notre,KR1,36.36363636363637
4083,산타크로즈,KR1,lllllllll,aaa,83.33333333333334
4084,오버이트,KR1,두노따효니,KR1,52.63157894736842
4085,매 화,king,영 웅,KR3,59.25925925925925
4086,top grave,csgod,운이 없군,KR97,36.36363636363637
4087,역천핵,KR1,ฅΟωΟฅ,야   옹,60.0
4088,트라케라톱스,백악기,브라키오사우루스,쥐라기,46.666666666666664
4089,트라케라톱스,백악기,디플로도쿠스,중생대,50.0
4090,탱탱볼이,KR1,멍뭉이다,KR1,68.75
4091,사냥꾼의야메테,0000,Dear Keinwiz,KR1,53.57142857142857
4092,뿌니비아,KR1,오과장,곧 차장,62.5
4093,JY MS,KR1,Korea Zinc,칭찬맨,60.0
4094,낮잠자는 짹짹이,KR1,보낙이가캐리한다,KR1,72.22222222222221
4095,칼라홍삼,999,오킹포킹,KR999,51.724137931034484
4096,응애 나 악의티모,KR3,최강원딜이될거야,1800,63.1578947368421
4097,미움받을용기,5CCNW,멍댕구리,KR1,72.0
4098,Hide on push,hionp,송중기아니에요,KR1,75.0
4099,1년차 롤룽이,KR1,니없어서다행이다,KR1,66.66666666666666
4100,니엄마와사바리,KR2,조선의상남자,시라오니,70.83333333333334
4101,anjgkfRk,123,꼬북칩콘스프,KR1,62.96296296296296
4102,태건이야,KR1,붉은하늘위의 달,123,50.0
4103,A891,KR1,루이30세끼,777,50.0
4104,사랑꾼,KR3,닌먼데,1122,63.1578947368421
4105,이재명,jail,은 수,KR2,53.333333333333336
4106,テンニンカ,kr2,VvzxzvV,KR1,68.75
4107,テンニンカ,kr2,소마지롱,KR1,41.66666666666667
4108,늙고병든혜그랑땡,KR1,은가뉴,프제쨩,60.0
4109,웃긴걸보면짖는개,KR1,유예h,KR1,50.0
4110,새순유치원,111,고냥이,82528,57.14285714285714
4111,맑은수,KR1,수리나무잎,KR1,33.33333333333333
4112,GloryKR ,KR1,wutevergosaround,11111,42.857142857142854
4113,HenaK,KR1,써리원 박진,31살,69.23076923076923
4114,탑 개,0534,부 냥,KR0,30.0
4115,안녕안녕,반가워,xi quz,0322,50.0
4116,인생은 빨간색,KR1,닥치고게임을해,1234,72.22222222222221
4117,인생은 빨간색,KR1,AD Carry,연수은,50.0
4118,도리도리 돌돌이,심청이,Azass,band,57.89473684210527
4119,준현이의작은아이,귀요미,louisean,KR1,40.909090909090914
4120,꿈을 이룰 남자,KR1,illit,njzs,63.63636363636363
4121,물똥벌레,KR1,김치 미식가,ky77,36.84210526315789
4122,젭이  젭젭이 ,KR1,벌레의삶을산쌍베,KR1,53.333333333333336
4123,탈공탈토,KR1,행복벌레,KR1,50.0
4124,뽕 글,KR1,파카는아가아,KR1,36.84210526315789
4125,JustLikeThatKR,WHY,웅비포병,315,76.92307692307693
4126,뿌행행행,KR12,라인전의왕교전의신,박광용,38.46153846153847
4127,Aindo,KR1,나꼬사랑,KR1,63.33333333333333
4128,한재싱,KR1,진 키,진 키,36.666666666666664
4129,마이픔,KR1,루비루,루비루,50.0
4130,암스트롱물고기,KR1,전투식량도둑,무작위,40.909090909090914
4131,지구최강종쮸,4271,할수있다아자아자,KR1,61.53846153846154
4132,슬라이스치즈,슬라이스,감 자,7057,33.33333333333333
4133,저지능지체아,이상완,돼지토끼,KR7,73.91304347826086
4134,g0rAni,동물의왕국,나만지켜봐,KR3,42.857142857142854
4135,g0rAni,동물의왕국,김선응,핫소스,40.0
4136,아쉐르,KR1,여이그,KR1,56.52173913043478
4137,쮜쮜훈,KR2,조호법,해동밀교,66.66666666666666
4138,여름인데요,KR1,단아해,KR1,30.0
4139,ZARD,ker10,skdd,KR1,40.0
4140,임성빈바보,KR1,비슴비아아도,KR1,41.66666666666667
4141,Mid side,KR1,WOOZA87,KR2,46.666666666666664
4142,Mid side,KR1,정상인인척하기,KR1,26.666666666666668
4143,제 이 카,리즈이사,주 작,0806,57.692307692307686
4144,한 퉤 원,KR1,메가장꾸,KR1,61.53846153846154
4145,문이열리네요,KR3,무사 나왔다게,KR1,43.333333333333336
4146,INFJ,2142,해킹하지마라디진다,1818,40.909090909090914
4147,무학여고 최린,KR432,임앵웅,KR1,68.0
4148,정 열 조,KR1,물리데미지,KR1,57.14285714285714
4149,고영 도당 창족,KR1,왓따잉,KR1,60.0
4150,내 남편 볼리베어,KR1,펩시제로슈거라임향최고,KR2,46.15384615384615
4151,완전무력화3초전,3210,소리나는다오,리 신,50.0
4152,게임좀하는편이야,KR1,이해가안되면외워,KR1,62.5
4153,게임좀하는편이야,KR1,옆동네에서왔어요,KR1,36.36363636363637
4154,폭탄처리반,8282,화려한솔로킬KOR,KR1,55.55555555555556
4155,민트초코 크로플,KR1,쿠츠츠,KR1,47.82608695652174
4156,기벼진,KR1,가렌그자체,KR1,57.14285714285714
4157,애국보수다리우스,KR1,부패산신령,KR1,60.0
4158,뉴진스나가,KR1,숭 늉,1227,38.88888888888889
4159,뉴진스나가,KR1,롤로노아 장승주,KR1,81.81818181818183
4160,강 건,0323,강해빈,0323,64.70588235294117
4161,타워가부서졌어요,KR1,지제 동삭동,KR1,43.75
4162,TAKOCHI,KR1,TAKOCHI,KRI,54.54545454545454
4163,꿀 LifeHack 꿀,KR1,곰발바닥쿵쿵,곰3마리,45.45454545454545
4164,핵츤욱,KR1,모오쪼로라고모,KR2,46.666666666666664
4165,기대하지않는사람,KR523,선 민,KR2,81.25
4166,정목이가젤멋져,KR1,최후의쓰랄,KR1,42.857142857142854
4167,철강의 심장,KR1,노 답,1282,78.57142857142857
4168,24200586del,KR1,본캐우디르장인,KR1,63.1578947368421
4169,임채벌,KR1,윤오노,KR1,55.00000000000001
4170,Hide on bush,UM1,Roasted  Coffee,KR1,57.14285714285714
4171,Hide on bush,UM1,흥청망청사는놈,KR2,50.0
4172,뉴벨즈,KR1,이미 늦었지,KR1,50.0
4173,요르치,KR1,승쿤갓,KR1,55.00000000000001
4174,정상화의신,우리팀을,2급공돌이,PhD,69.23076923076923
4175,DeviLFuRy,KR1,monstersup2,KR1,50.0
4176,운리단길,KR1,믿드갈게,KR1,45.45454545454545
4177,아톰아 물어,KR1,로이야 물어,KR1,55.55555555555556
4178,노동착취협박살인,조선족,50일정지된본캐,KR1,40.0
4179,xiaIu mei,KR1,우쪽이,KR123,42.857142857142854
4180,알리가내맘을알리,KR1,인생편하게살기,KR1,66.66666666666666
4181,알리가내맘을알리,KR1,오류수정,KR1,73.33333333333333
4182,산기슭토깽이,KR1,Bad villain,KR1,46.666666666666664
4183,산기슭토깽이,KR1,수리진,KR1,71.42857142857143
4184,구 체,GEN,SUP FOR YOU,KR1,45.45454545454545
4185,긴세월에변하지않는사랑은없겠지만,오래전부터,듀란드의 방패,KR1,33.33333333333333
4186,BIN,KR0,최룡륭,왜죽였어,50.0
4187,대한독립만세,KR2,베이가원챔,KR3,40.0
4188,탱글성욱,KR1,KDF Leaper,KR04,56.25
4189,탱글성욱,KR1,아이라,0505,70.0
4190,경 슨,KR1,하남신말,KR1,61.111111111111114
4191,영빈아다탈출기원,26년째,정글연습,123,50.0
4192,느 좋,1234,믿기 싫음 믿지 마,SON,47.61904761904761
4193,우리팀정글은어디,KR1,티모는어려워,KR1,80.0
4194,미한남,KR1,분신의마음으로,SSU,63.63636363636363
4195,미한남,KR1,chobo1028,KR1,36.36363636363637
4196,박수엽,KR1,하늘에서공차기,KR1,50.0
4197,2025년12월16일,1234,부이우드,FRAME,60.0
4198,갱민Yee,KR1,갱은2,KR1,56.52173913043478
4199,원딜마빡딱대,KR1,까 앵,1004,62.5
4200,그럴까나,KR1,멕시까나,KR1,64.28571428571429
4201,정글고아라박아요,jgmom,이상한청년,KOR,53.84615384615385
4202,몸통믹서기,head0,POWER레인저 레드,KR1,69.23076923076923
4203,HHope,KR3,참 빛,KR1,83.33333333333334
4204,저를막만지셨잖아요,1122,장현진,KR1,36.84210526315789
4205,최강멸공박정환,KR1,고구마무스시,1230,50.0
4206,최강멸공박정환,KR1,찢원민,china,70.0
4207,도끼병,8543,산다는것그것은치열한전투이다,로망로랑,66.66666666666666
4208,김꽃비,KR1,만까이,KR1,42.857142857142854
4209,明 星,JSH,배고픈데뭐먹지5,KR1,57.14285714285714
4210,이게원딜이쥐,KR1,Sandevistan,싼데비슷,41.66666666666667
4211,T1 Faker,96057,하얀히소,KR1,77.77777777777779
4212,질 리 언,KR34,꽁치소금구이,KR1,76.47058823529412
4213,NIA feLix,KOR,Spltze,KR1,75.0
4214,녕 안,2308,kazuhot,kr3,66.66666666666666
4215,녕 안,2308,빵빵이의미친일상,KR1,50.0
4216,Kellani,KR1,김지원,하이지음,57.14285714285714
4217,햐안색한지,KR1,돛단배,HC1,50.0
4218,IlIIlIIIIlllIl,KR1,Top Makes Man,KR1,69.23076923076923
4219,IlIIlIIIIlllIl,KR1,JDG Guler,kr619,70.0
4220,비뚤어진 대나무,KR1,서정방,KR1,50.0
4221,박정희,계엄선포,노정엄글,KR2,53.333333333333336
4222,事 必 歸 正,1111,Babbby,KR1,33.33333333333333
4223,事 必 歸 正,1111,New Astaxanthin,KR1,60.0
4224,XunJie,KR1,TangPaoFan,KR1,72.72727272727273
4225,XunJie,KR1,수도공수닝,KR1,63.63636363636363
4226,럭 스,원 챔,귀 신,창 귀,72.72727272727273
4227,오낳괴,KR1,버섯과자,KR1,66.66666666666666
4228,수정구망나니,KR1,레전드오브운타라,KR1,20.0
4229,소통이어려운사람,KR1,잭슨피자석촌점,KR1,72.72727272727273
4230,찻집스텔라와,KR1,T1 애완동물,KR777,60.0
4231,찻집스텔라와,KR1,오뚜기3분나비탕,KR1,80.0
4232,용인 양아치,KR1,북극곰 슈트,KR1,64.70588235294117
4233,dyundyun,KR1,일단사려봐봐,KR1,55.55555555555556
4234,지코바정자2호점,KR1,착하게살기,죄송합니다,47.368421052631575
4235,희워늬,0212,힐 왜 안 썼냐,KR1,58.333333333333336
4236,군산대표덤벙이,하나님사랑,여자찾아 삼만리,디엠주세요,84.61538461538461
4237,함박웃응,15681,Assayy,KR1,73.33333333333333
4238,권아윤,공쥬사랑,핑뚝이,결 밴,45.45454545454545
4239,경성대다리털미남최태영,개꿀따라시,이기자 제발,none,50.0
4240,민들찌,KR1,울비링,KR1,30.0
4241,Ruler,KR100,이승진왔다,KR1,52.94117647058824
4242,atapel,KR1,미친낙기견,1247,57.692307692307686
4243,뒷구녕조심해,KR1,채팅다차단하고합니다,KR666,63.63636363636363
4244,1류준열,KR1,떡볶이는먹고싶어,KR1,57.14285714285714
4245,사랑체리,KR1,혼 팡,KR1,83.33333333333334
4246,꼬마무너,KR1,동글원,KR1,78.57142857142857
4247,박 조 헉,KR1,호야핑,수돌핑,40.0
4248,02 07 08,KR1,명찌똥,KR1,57.14285714285714
4249,yc그리너,001,콧수염해적단,KR1,54.54545454545454
4250,통감자코너,KR1,김박석동이,KR1,57.14285714285714
4251,카트라이더라이,KR1,뽀영뀨,KR1,46.15384615384615
4252,매우 깊은 구덩이,KR1,미친나무꾼,KR1,52.94117647058824
4253,익자현지,KR1,최태환,2222,60.0
4254,잘조여,KR1,혜 왕,ฅΟωΟฅ,68.75
4255,iSginM,KR1,진흙반소다반,KR1,54.54545454545454
4256,나는개도물어,1999,JYUNMAI,KR1,66.66666666666666
4257,l 김아름 l,KR1,내서폿건들면죽임,KR1,88.23529411764706
4258,좋나 좋같다,KR1,aoamg,KR1,44.44444444444444
4259,핑핑이눈찌르기,KR1,다람이헬멧깨기,KR1,41.66666666666667
4260,Master Darren,KR1,오션앞 예쁜누나,KR1,45.0
4261,공주의품격,9999,왕자의품격,2036,46.666666666666664
4262,추두애,KR1,매여고,KR1,70.83333333333334
4263,망겜모임,KR1,79세 박옥분,1942,57.89473684210527
4264,퓨슈유융,KR1,건물주아저씨,KR1,57.14285714285714
4265,제라스만사랑할래,KR1,링쟈오밍,KR1,90.9090909090909
4266,꽁즈리얼,KR1,Ol발소,KR1,70.58823529411765
4267,Garald,KR1,낭만찾아요,KR1,80.0
4268,저으교,KR1,독산동 딸기공주,KR1,75.0
4269,다이아찍어보자고,KR1,ReatEna,KR1,41.66666666666667
4270,TaeDu,KR1,비주야,KR1,46.15384615384615
4271,p1zl,KR1,NOvelium,KR1,53.333333333333336
4272,ktstorm,KR1,승트록스,KR1,91.66666666666666
4273,73세박점례,KR1,오합지졸 서폿,KR1,63.63636363636363
4274,키야 나 쩔지,KR1,Raric,KR1,76.47058823529412
4275,岐 炫,0520,기무태훈,CN1,44.44444444444444
4276,눈 내린 겨울날,KR1,올차단핑안들음,KR1,57.14285714285714
4277,4번타자트런들,KR1,5번타자트런들,KR1,55.55555555555556
4278,딤태암,KR1,Olleh111,KR1,36.36363636363637
4279,안산섹시가이,KR1,박달호,KR1,53.57142857142857
4280,명동고라니,KR1,          a VIBE,KR1,60.86956521739131
4281,개구쟁이병진,588,처제의일기장,KR2,36.36363636363637
4282,스타콘덤나이트,KR1,Samira Rose,KR1,56.666666666666664
4283,지  욤,KR1,귀욤지욤,KR1,66.66666666666666
4284,민예나,KR1,123겸,KR1,64.0
4285,르블랑요네제드,KR99,동천동 이동욱,KR1,42.857142857142854
4286,어려워 롤은,KR1,화염저항포션,KR1,60.0
4287,Helper 이즈나,KR1,혀 무,KR1,66.66666666666666
4288,경남 사천시,KR1,Zl존 상훈,KR1,50.0
4289,LeoNautiluS,KR1,안녕하세요들썩,KR1,72.72727272727273
4290,호석자,KR1,몰락한 정상수,카피바라,60.0
4291,엑소익소,KR1,정신분열환자,KR1,60.0
4292,실수할까 두렵다,KR1,역천괴,KR712,41.17647058823529
4293,만원짜리지페,KR1,원딜갖다버리기,KR2,68.75
4294,만원짜리지페,KR1,울팀서폿목졸라죽이기,KR2,61.53846153846154
4295,광쥐팥쥐,KR1,김매력,KR3,30.0
4296,거울로 보는 얼굴,KR1,82세 독거노인,KR1,66.66666666666666
4297,멘탈가출아이디,KR1,THE 스몰The,스몰더,73.07692307692307
4298,WangDdu,KR1,니손가락탓,KR1,57.14285714285714
4299,명란젓쿠키,KR1,wjm1212,01212,64.0
4300,트리오브세이비어,KR1,사토리,NK1,66.66666666666666
4301,orco,KR0,갓구피,KR1,70.0
4302,협곡유치원 흰둥,KR1,협곡유치원 짱구,KR1,43.47826086956522
4303,암호론,KR1,또미니다,KR1,70.0
4304,암호론,KR1,기준아너존야있다,KR1,60.0
4305,New트윈,KR1,양학동장,KR1,50.0
4306,M Perro94,KR1,정글도는깜보,KR1,45.45454545454545
4307,빠또맨짱짱123,KR1,의문의복귀유저,2132,71.42857142857143
4308,Byms,KR1,나잖아 주호,KR1,66.66666666666666
4309,유기농 포도잼,KR1,LL Stailish,KR1,46.15384615384615
4310,아메리한잔,KR2,싫슴돠,KR1,61.111111111111114
4311,부러우면지는거야,KR1,유 찬,대유찬,60.0
